Exhibitor,Email,Website,City,Facebook,Instagram,Twitter,Address
1Shanthiroad,1.shanthiroad@gmail.com,http://1shanthiroad.com/,Bengaluru,https://www.facebook.com/1shanthiroad/,https://www.instagram.com/1.shanthiroad/,,"#1, Shanthi Rd, Bheemanna Garden, Shanti Nagar, Bengaluru, Karnataka 560027"
1x1 Art Gallery,info@1x1artgallery.com,http://www.1x1artgallery.com/,Dubai,https://www.facebook.com/1X1artgalleryuae,https://www.instagram.com/1x1artgallery/,,Alserkal Avenue - B10 - شارع ٨ - Al Quoz - القوز 1 - Dubai - United Arab Emirates
aequo,enquire@aequo.in,https://aequo.in,Mumbai,,https://www.instagram.com/__aequo__/,,"Unit N° 11, 1st Floor, Devidas Mansion, B K Boman Behram Marg, Apollo Bandar, Colaba, Mumbai, Maharashtra 400001"
Aicon,harry@aicongallery.com,http://www.aicongallery.com/,New York,facebook.com/AiconGallery/,https://www.instagram.com/aicongallery/,,"35 Great Jones St, New York, NY 10012, United States"
Aicon Contemporary,lena@aicongallery.com,http://aiconcontemporary.com/,New York,https://www.facebook.com/Aicon-Contemporary-2439311949431096,https://www.instagram.com/aiconcontemporary/,https://twitter.com/aiconcontemp,"35 Great Jones St, New York, NY 10012, United States"
Akar Prakar,info@akarprakar.com,https://www.akarprakar.com,Kolkata,https://www.facebook.com/akarprakarccu,https://www.instagram.com/akar.prakar/,,"P 238, Hindustan Park Rd, Golpark, Hindustan Park, Gariahat, Kolkata, West Bengal 700029"
Akara Art,meghna@akaraart.com,http://akaraart.com/,Mumbai,https://www.facebook.com/akaraart.mumbai/,https://www.instagram.com/akaraart/,,"Flat 4/5 1st floor, Churchill Chambers, 32, B K Boman Behram Marg, Apollo Bandar, Colaba, Mumbai, Maharashtra 400001"
Anant Art,contact@anantart.com,http://www.anantart.com/,Noida,https://www.facebook.com/anantart.com1,https://instagram.com/anantartgallery,https://twitter.com/Anantartin,"A-21, Vyapar Marg, Block A, Sector 5, Noida, Uttar Pradesh 201301"
Anupa Mehta Contemporary Art,info@anupamehtaarts.com,https://www.anupamehtaarts.com/,Mumbai,,,,"Ground floor, Royal Terrace, 58, Wodehouse Rd, near Charagh Din, Colaba, Mumbai, Maharashtra 400005"
Apparao Galleries,gallery@apparaoart.com,https://www.instagram.com/apparaogalleriesindia/?hl=en,Chennai,,,,"No. 7, Wallace Gardens 3rd Street, Nungambakkam, Chennai, Tamil Nadu 600006"
Archer Art Gallery,info@archerindia.com,http://www.archerindia.com/,Ahmedabad,https://www.facebook.com/ArcherArtGallery/,https://www.instagram.com/archerartgallery/,,"1st Floor, Phoenix Near, Vijay Cross Rd, N.K.Group Society, Navarangpura, Roads, Navrangpura, Ahmedabad, Gujarat 380009"
Art Alive Gallery,sunaina@artalivegallery.com,http://www.artalivegallery.com/,New Delhi,https://www.facebook.com/Art-Alive-Gallery-1458750674340639/,https://www.instagram.com/artalivegallery/,,"S-221, Gamal Abdel Nasser Marg, Block S, Panchsheel Park South, Panchsheel Park, New Delhi, Delhi 110017"
Art Centrix Space,info@artcentrix.com,https://artcentrix.com,New Delhi,https://www.facebook.com/Art-Centrix-Space-105144117680047/,https://www.instagram.com/artcentrixspace/,https://twitter.com/artcentrixspace/,"Jain Farm, 2, near The Heritage School, behind Sector D, Vasant Kunj, New Delhi, Delhi 110070"
Art Explore,info@artexplore.in,https://artexplore.in,New Delhi,,https://www.instagram.com/artexplore/,,"E 55, Panchsheel Park North, Panchsheel Park, New Delhi, Delhi 110017"
Art Heritage,ahg@artheritagegallery.com,http://www.artheritagegallery.com,New Delhi,,https://www.instagram.com/artheritagegallery/,,"205, Tansen Marg, Todermal Road Area, Mandi House, New Delhi, Delhi 110001"
Art Incept,artincept@artpilgrimlive.com,https://www.facebook.com/artinceptbyartpilgrim/,Gurugram,,,,"227 South Point Mall, Golf Course Rd, DLF Phase 5, Gurugram, Haryana 122002"
Art Musings,art@artmusings.net,http://www.artmusings.net,Mumbai,,,,"Admiralty Building, Colaba Cross Ln, Cuffe Parade, Mumbai, Maharashtra 400005"
ARTDISTRICT XIII,artdistrict13@gmail.com,http://www.artdistrict13.com/,New Delhi,https://www.facebook.com/pages/Artdistrict-13/382377221906974,https://www.instagram.com/artdistrict13/,https://twitter.com/artdistrict13,"F-213 A, Ground Floor, Old M B Road, Lado Sarai, New Delhi, Delhi 110030"
Atelier Ashiesh Shah,studio@aahome.in,https://www.ashieshshah.com/atelier,Mumbai,,http://instagram.com/ashieshshah,,"Nos. 3 &amp; 4, Ground floor , Kailash Nagar CHS, Forjett Hill Road, Near, Bhatia Hospital Ln, Tardeo, Mumbai, Maharashtra 400007"
Australian High Commission,ahc.newdelhi@dfat.gov.au,https://india.highcommission.gov.au/,New Delhi,,,,"Panchsheel Marg, 1/50G, Shantipath, Opposite British High Commission, Chanakyapuri, New Delhi, Delhi 110021"
Blueprint12,blueprint2012@gmail.com,http://www.blueprint12.com,New Delhi,,,,"C - 66, Anand Niketan, New Delhi, Delhi 110021"
Britto Arts Trust,brittoarts@yahoo.com,http://www.brittoartstrust.org/,Dhaka,https://www.facebook.com/BrittoArtsTrust,,,"Britto Arts Trust 33,33/1 Green Mart 1st Floor, Space no: 208-210 Green Road, Dhaka 1205 Bangladesh, Green Rd, Dhaka, Bangladesh"
Bruno Art Group,info@brunoartgroup.com,https://www.brunoartgroup.com/,Tel Aviv,https://www.facebook.com/brunogallery/,https://www.instagram.com/brunoartgroup/,,"HaTa'arucha St 3, Tel Aviv-Yafo, Israel"
Carpenters Workshop Gallery,london@carpentersworkshopgallery.com,https://carpentersworkshopgallery.com/,London,,,,"79 Barlby Rd, London W10 6AZ, United Kingdom"
Chatterjee & Lal,info@chatterjeeandlal.com,http://chatterjeeandlal.com/,Mumbai,https://www.facebook.com/pages/Chatterjee-Lal/108785872518710,https://instagram.com/chatterjeeandlal/,https://twitter.com/CandLgallery,"Floor 1, Kamal Mansion, 01/18, Arthur Bunder Rd, Colaba, Mumbai, Maharashtra 400005"
Chawla Art Gallery,sc@chawla-artgallery.com,http://www.chawla-artgallery.com/,New Delhi,https://www.facebook.com/chawlaartgallery/,https://www.instagram.com/chawlaartgallery/,,"Square One Mall, Ground Floor, C2, District Centre, Saket, New Delhi, Delhi 110017"
Chemould Prescott Road,gallerychemould@gmail.com,http://www.gallerychemould.com/,Mumbai,https://www.facebook.com/ChemouldPrescottRoad/,https://www.instagram.com/chemouldprescottroad/,,"3rd floor, Queens Mansion, Ghanshyam Talwatkar Marg, Azad Maidan, Fort, Mumbai, Maharashtra 400001"
Clay in Common: Multiple artists by Indian Ceramics Triennale,indianceramicstriennale@gmail.com,https://www.indianceramicstriennale.com/,New Delhi,https://www.facebook.com/IndianCeramicsTriennale/,https://www.instagram.com/indianceramicstriennale/,,"A-98, Nangal Dewat, Sector D, Vasant Kunj, New Delhi, Delhi 110070"
CP Kukreja Foundation for Design Excellence,cpka@cpkukreja.com,https://www.cpkukreja.com/,New Delhi,https://www.facebook.com/CPKukrejaArchitects/,https://www.instagram.com/cpkukrejaarchitects/,https://twitter.com/cpkukreja,"Aashirwad Complex, Block D1, Green Park, New Delhi, Delhi 110016"
Crayon Art Gallery,art@crayonartgallery.com,https://www.crayonartgallery.com,New Delhi,https://www.facebook.com/pages/Crayon-Capital-Art/157589817635739,,https://twitter.com/CrayonCapital,"Claridges Hotel, 12, Dr APJ Abdul Kalam Rd, Tees January Road Area, Motilal Nehru Marg Area, New Delhi, Delhi 110011"
DAG,danish.saifi@dagworld.com,https://dagworld.com,New Delhi,https://www.facebook.com/DAGworld,https://www.instagram.com/dag.world/,https://twitter.com/dagworld,"22A, Janpath Rd, Windsor Place, New Delhi, Delhi 110001"
de Gournay,info@degournay.com,https://degournay.com/,London,,https://www.instagram.com/degournay/,,"112 Old Church St, London SW3 6EP, United Kingdom"
Delhi Crafts Council,delhicraft@gmail.com,http://www.delhicraftscouncil.org/,New Delhi,https://www.facebook.com/delhicraftscouncil/,https://www.instagram.com/delhicraftscouncil/,,"116a, 1, Shahpur Jat, Siri Fort, New Delhi, Delhi 110049"
